config_name,target_mode,normalization,revin_affine,revin_subtract_last,overall_mae,overall_mse,overall_rmse,walk_mae_mean,walk_mae_std,walk_rmse_mean,walk_rmse_std
baseline_logreturn,log_return,simple_global,False,False,87.99165344238281,17828.53515625,133.52353783603098,88.67446899414062,6.8906707763671875,134.50009155273438,12.690229415893555
revin_price_tuned,price,revin,True,True,94.03763580322266,20630.95703125,143.63480438685465,94.7068099975586,10.3475341796875,143.15823364257812,19.51277732849121
baseline_price,price,simple_global,False,False,97.88983917236328,25033.560546875,158.2199751828921,99.64887237548828,21.390899658203125,157.5698699951172,36.88045883178711
revin_logreturn_tuned,log_return,revin,True,True,115.4576644897461,30313.962890625,174.10905459115273,116.4343032836914,11.399801254272461,174.4349822998047,20.71208953857422
